match_matchId;match_platformId;t1_Aatrox;t1_Alistar;t1_Ashe;t1_Brand;t1_Camille;t1_Corki;t1_Ezreal;t1_Jhin;t1_KSante;t1_Kaisa;t1_LeBlanc;t1_Lee Sin;t1_Leona;t1_Lillia;t1_Lucian;t1_Nautilus;t1_Nidalee;t1_Rakan;t1_Rell;t1_Renekton;t1_Rumble;t1_Tristana;t1_Viego;t1_Yone;t1_Zeri;player_teamId;player_win;team_dragon_first;team_riftHerald_first;team_winner;t2_Aatrox;t2_Alistar;t2_Ashe;t2_Brand;t2_Camille;t2_Corki;t2_Ezreal;t2_Jhin;t2_KSante;t2_Kaisa;t2_LeBlanc;t2_Lee Sin;t2_Leona;t2_Lillia;t2_Lucian;t2_Nautilus;t2_Nidalee;t2_Rakan;t2_Rell;t2_Renekton;t2_Rumble;t2_Tristana;t2_Viego;t2_Yone;t2_Zeri
BR1_2950442355;BR1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;red;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR1_2950599345;BR1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;red;VERDADEIRO;VERDADEIRO;VERDADEIRO;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
BR1_2950866051;BR1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;red;VERDADEIRO;FALSO;FALSO;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
BR1_2951124418;BR1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;blue;VERDADEIRO;FALSO;VERDADEIRO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
BR1_2951299670;BR1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;red;FALSO;VERDADEIRO;VERDADEIRO;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0
BR1_2951306821;BR1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;red;FALSO;FALSO;FALSO;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
BR1_2951316602;BR1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;blue;VERDADEIRO;FALSO;VERDADEIRO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
BR1_2951492743;BR1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;red;FALSO;VERDADEIRO;FALSO;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
BR1_2951708392;BR1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;red;FALSO;FALSO;FALSO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
BR1_2951765913;BR1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;blue;VERDADEIRO;VERDADEIRO;VERDADEIRO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
BR1_2951778469;BR1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;blue;VERDADEIRO;VERDADEIRO;VERDADEIRO;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
